"filename", "language", "C++", "comment", "blank", "total"
"/home/lloyd/Desktop/OOP-Major-Game/Menu.cpp", "C++", 15, 0, 0, 15
"/home/lloyd/Desktop/OOP-Major-Game/Pokedex.cpp", "C++", 9, 0, 5, 14
"/home/lloyd/Desktop/OOP-Major-Game/Pokedex.h", "C++", 12, 0, 2, 14
"/home/lloyd/Desktop/OOP-Major-Game/main.cpp", "C++", 8, -1, 3, 10
"Total", "-", 44, -1, 10, 53
